date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd
2024-03-10,1221522505.0,,326195.2690473477,326195.2690473477,326195.2690473477,163097.63452367386
2024-03-11,1775797900.0,,474208.9248402469,474208.9248402469,474208.9248402469,237104.46242012345
2024-03-12,1767684072.0,,472042.2088799348,472042.2088799348,472042.2088799348,236021.1044399674
2024-03-13,1265798291.0,,338018.67129121616,338018.67129121616,338018.67129121616,169009.33564560808
2024-03-14,2036092456.0,,543717.9616188856,543717.9616188856,543717.9616188856,271858.9808094428
2024-03-15,2717370246.0,,725646.326504011,725646.326504011,725646.326504011,362823.1632520055
2024-03-16,1758758397.0,,469658.6973636618,469658.6973636618,469658.6973636618,234829.3486818309
2024-03-17,1608250892.0,,429467.18563451845,429467.18563451845,429467.18563451845,214733.59281725922
2024-03-18,1666630890.0,,445056.9754882826,445056.9754882826,445056.9754882826,222528.4877441413
2024-03-19,3006161952.0,,802765.2398696821,802765.2398696821,802765.2398696821,401382.61993484106
2024-03-20,3056649161.0,,816247.3399994745,816247.3399994745,816247.3399994745,408123.66999973723
2024-03-21,1520765024.0,,406104.96665509755,406104.96665509755,406104.96665509755,203052.48332754878
2024-03-22,1559565595.0,,416466.2679366779,416466.2679366779,416466.2679366779,208233.13396833895
2024-03-23,1018606430.0,,272008.57710534637,272008.57710534637,272008.57710534637,136004.28855267318
2024-03-24,1048631571.0,,280026.4882830693,280026.4882830693,280026.4882830693,140013.24414153464
2024-03-25,1643482596.0,,438875.4569665939,438875.4569665939,438875.4569665939,219437.72848329696
2024-03-26,1670131599.0,,445991.80453108565,445991.80453108565,445991.80453108565,222995.90226554283
2024-03-27,1318221582.0,,352017.7825987008,352017.7825987008,352017.7825987008,176008.8912993504
2024-03-28,1039407307.0,,277563.2415848484,277563.2415848484,277563.2415848484,138781.6207924242
2024-03-29,1140989766.0,,304689.81306295324,304689.81306295324,304689.81306295324,152344.90653147662
2024-03-30,843983055.0,,225377.16543922987,225377.16543922987,225377.16543922987,112688.58271961493
2024-03-31,992898732.0,,265143.59555046464,265143.59555046464,265143.59555046464,132571.79777523232
2024-04-01,1450400296.0,,387314.7754900126,387314.7754900126,387314.7754900126,193657.3877450063
2024-04-02,1797444197.0,,479989.35020686244,479989.35020686244,479989.35020686244,239994.67510343122
